====== He (5486) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 5486 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 30000.E+01 A ;
  Layer # 1- Density = 9.671E22 atoms/cm3 = 3.22 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
300001.E-02  2035.33E-02  7100.81E-07
600001.E-02  2049.22E-02  1224.32E-06
900001.E-02  2067.51E-02  5034.82E-04
120000.E-01  2080.34E-02  1005.84E-06
150000.E-01  2098.95E-02  1005.16E-06
180000.E-01  2113.31E-02  1663.49E-06
210000.E-01  2127.72E-02  1984.79E-06
240000.E-01  2146.31E-02  1816.74E-06
270000.E-01  2160.46E-02  1218.70E-06
300000.E-01  2181.53E-02  3792.49E-06
330000.E-01  2191.35E-02  1353.58E-06
360000.E-01  2217.56E-02  1294.41E-06
390000.E-01  2245.53E-02  1660.11E-06
420000.E-01  2263.64E-02  9723.25E-07
450000.E-01  2279.93E-02  3372.80E-06
480000.E-01  2299.84E-02  2217.74E-06
510000.E-01  2319.35E-02  1717.88E-06
540000.E-01  2341.40E-02  1160.20E-06
570000.E-01  2366.59E-02  2954.44E-06
600000.E-01  2386.88E-02  1964.39E-06
630000.E-01  2414.07E-02  3473.23E-06
660000.E-01  2435.35E-02  8286.91E-06
690000.E-01  2466.14E-02  1479.25E-06
720000.E-01  2493.52E-02  1123.57E-06
750000.E-01  2520.88E-02  2857.59E-06
780000.E-01  2557.87E-02  1108.27E-05
810000.E-01  2587.91E-02  1245.72E-06
840000.E-01  2628.86E-02  1973.87E-06
870000.E-01  2656.88E-02  2377.69E-06
900000.E-01  2700.41E-02  3717.58E-06
930000.E-01  2729.17E-02  2967.21E-06
960000.E-01  2767.59E-02  1441.02E-06
990000.E-01  2813.01E-02  1556.74E-06
102000.E+00  2846.45E-02  1257.24E-05
105000.E+00  2902.01E-02  1666.44E-06
108000.E+00  2943.39E-02  3528.16E-06
111000.E+00  2994.04E-02  1699.24E-06
114000.E+00  3054.48E-02  2589.16E-06
117000.E+00  3101.70E-02  4193.02E-06
120000.E+00  3174.51E-02  3501.68E-06
123000.E+00  3245.50E-02  2584.68E-06
126000.E+00  3301.30E-02  4710.66E-05
129000.E+00  3374.25E-02  2896.61E-06
132000.E+00  3465.20E-02  3625.29E-06
135000.E+00  3558.04E-02  6370.49E-06
138000.E+00  3646.56E-02  6543.66E-06
141000.E+00  3745.24E-02  4130.59E-06
144000.E+00  3842.77E-02  1689.00E-05
147000.E+00  3966.19E-02  5528.95E-06
150000.E+00  4098.49E-02  1252.83E-05
153000.E+00  4243.00E-02  5097.48E-06
156000.E+00  4388.99E-02  4714.30E-06
159000.E+00  4555.68E-02  7386.69E-06
162000.E+00  4738.86E-02  1769.56E-05
165000.E+00  4904.23E-02  1231.71E-05
168000.E+00  5046.81E-02  1854.47E-05
171000.E+00  5105.77E-02  3082.24E-05
174000.E+00  4961.03E-02  4366.68E-05
177000.E+00  4370.70E-02  5094.25E-05
180000.E+00  3219.29E-02  1052.18E-04
183000.E+00  1604.74E-02  2111.08E-04
186000.E+00  3028.99E-03  9910.97E-05
189000.E+00  9810.40E-05  5068.34E-06
192000.E+00  5109.97E-07  6574.49E-08
195000.E+00  0000.00E+00  0000.00E+00
198000.E+00  0000.00E+00  0000.00E+00
201000.E+00  0000.00E+00  0000.00E+00
204000.E+00  0000.00E+00  0000.00E+00
207000.E+00  0000.00E+00  0000.00E+00
210000.E+00  0000.00E+00  0000.00E+00
213000.E+00  0000.00E+00  0000.00E+00
216000.E+00  0000.00E+00  0000.00E+00
219000.E+00  0000.00E+00  0000.00E+00
222000.E+00  0000.00E+00  0000.00E+00
225000.E+00  0000.00E+00  0000.00E+00
228000.E+00  0000.00E+00  0000.00E+00
231000.E+00  0000.00E+00  0000.00E+00
234000.E+00  0000.00E+00  0000.00E+00
237000.E+00  0000.00E+00  0000.00E+00
240000.E+00  0000.00E+00  0000.00E+00
243000.E+00  0000.00E+00  0000.00E+00
246000.E+00  0000.00E+00  0000.00E+00
249000.E+00  0000.00E+00  0000.00E+00
252000.E+00  0000.00E+00  0000.00E+00
255000.E+00  0000.00E+00  0000.00E+00
258000.E+00  0000.00E+00  0000.00E+00
261000.E+00  0000.00E+00  0000.00E+00
264000.E+00  0000.00E+00  0000.00E+00
267000.E+00  0000.00E+00  0000.00E+00
270000.E+00  0000.00E+00  0000.00E+00
273000.E+00  0000.00E+00  0000.00E+00
276000.E+00  0000.00E+00  0000.00E+00
279000.E+00  0000.00E+00  0000.00E+00
282000.E+00  0000.00E+00  0000.00E+00
285000.E+00  0000.00E+00  0000.00E+00
288000.E+00  0000.00E+00  0000.00E+00
291000.E+00  0000.00E+00  0000.00E+00
294000.E+00  0000.00E+00  0000.00E+00
297000.E+00  0000.00E+00  0000.00E+00
300000.E+00  0000.00E+00  0000.00E+00
